"Chemical.ID","% concordance"
"C01171",66.67
"C05081",66.67
"C08880",66.67
"C10132",66.67
"C13497",66.67
"C13638",66.67
"C16631",33.33
"C17978",33.33
"C18632",66.67
"C23855",66.67
"C29091",66.67
"C29494",66.67
"C34993",66.67
"C35108",33.33
"C40915",66.67
"C42471",66.67
"C45712",0
"C49082",66.67
"C55524",100
"C57798",66.67
"C63690",66.67
"C64688",66.67
"C73039",66.67
"C76051",33.33
"C76461",66.67
"C77742",100
"C81313",33.33
"C81905",66.67
"C85807",0
"C85940",66.67
"C93901",66.67
"C97291",66.67
"C98689",33.33
