"Chemical.ID","MO24","DP24","SM24","NC24","MORT","YSE_","AXIS","EYE_","SNOU","JAW_","OTIC","PE__","BRAI","SOMI","PFIN","CFIN","PIG_","CIRC","TRUN","SWIM","NC__","TR__"
"C01171",59.8,25,NA,NA,25,25,33.4,33.4,33.4,33.4,NA,33.4,NA,NA,25,NA,NA,NA,NA,NA,NA,33.4
"C05081",NA,33.4,NA,NA,NA,33.4,33.4,59.8,NA,NA,NA,33.4,NA,NA,33.4,NA,NA,NA,NA,NA,NA,NA
"C08880",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C10132",33.4,25,NA,NA,25,5,25,25,25,25,NA,5,NA,NA,5,5,NA,NA,NA,NA,NA,5
"C13497",25,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,NA,NA,5,NA,NA,5
"C13638",59.8,NA,NA,NA,59.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C16631",33.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C17978",NA,NA,NA,NA,25,25,25,25,25,25,NA,25,NA,NA,25,NA,NA,NA,NA,NA,NA,25
"C18632",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C23855",NA,25,NA,NA,25,25,25,25,25,25,NA,25,25,25,25,25,NA,NA,NA,NA,NA,25
"C29091",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C29494",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C34993",25,25,NA,NA,25,25,25,25,25,25,NA,25,NA,NA,25,25,NA,NA,NA,NA,NA,NA
"C35108",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C40915",NA,25,NA,NA,33.4,25,25,25,25,25,NA,25,25,25,25,25,NA,NA,25,NA,NA,59.8
"C42471",NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C45712",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C49082",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C55524",0.15,0.15,NA,NA,NA,0.15,0.15,0.15,0.15,0.15,NA,0.15,NA,NA,0.15,0.15,NA,NA,NA,NA,NA,NA
"C57798",44.7,25,NA,NA,33.4,33.4,33.4,33.4,33.4,33.4,NA,33.4,NA,NA,NA,33.4,NA,NA,NA,NA,NA,33.4
"C63690",25,25,NA,NA,25,25,25,25,25,25,NA,5,25,25,25,33.4,NA,NA,25,NA,NA,NA
"C64688",59.8,25,NA,NA,25,5,NA,NA,NA,NA,NA,5,NA,NA,5,5,NA,NA,5,NA,NA,NA
"C73039",33.4,25,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C76051",59.8,33.4,NA,NA,25,33.4,80,80,80,80,NA,33.4,80,80,44.7,80,NA,NA,NA,NA,NA,80
"C76461",NA,80,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA
"C77742",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C81313",NA,59.8,NA,NA,59.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C81905",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C85807",NA,25,NA,NA,25,25,25,25,25,0.5,NA,0.5,NA,NA,25,25,NA,NA,NA,NA,NA,25
"C85940",NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C93901",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C97291",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C98689",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
